Fp1 - M1Ref	Fpz - M1Ref	Fp2 - M1Ref	F7 - M1Ref	F3 - M1Ref	Fz - M1Ref	F4 - M1Ref	F8 - M1Ref	FC5 - M1Ref	FC1 - M1Ref	FC2 - M1Ref	FC6 - M1Ref	M1 - M1Ref	T7 - M1Ref	C3 - M1Ref	Cz - M1Ref	C4 - M1Ref	T8 - M1Ref	M2 - M1Ref	CP5 - M1Ref	CP1 - M1Ref	CP2 - M1Ref	CP6 - M1Ref	P7 - M1Ref	P3 - M1Ref	Pz - M1Ref	P4 - M1Ref	P8 - M1Ref	POz - M1Ref	O1 - M1Ref	Oz - M1Ref	O2 - M1Ref	HEOG - M1Ref	VEOG - M1Ref	
-1.067779E+003	3.470009E+002	-2.795758E+003	-6.110390E+003	-1.091538E+004	2.070457E+003	9.356851E+003	-9.388206E+003	3.717171E+002	6.079881E+003	1.613355E+002	-1.222696E+003	0.000000E+000	-3.832605E+003	-2.530887E+003	-6.537296E+003	1.019724E+004	1.796924E+003	0.000000E+000	-6.121792E+003	2.507918E+003	4.111158E+003	8.098092E+003	4.895050E+002	3.894120E+003	3.156533E+003	7.605589E+003	-7.163347E+003	-8.972665E+002	-6.108662E+003	3.254368E+003	1.193585E+003	0.000000E+000	0.000000E+000	
-1.075447E+003	3.377875E+002	-2.800944E+003	-6.112432E+003	-1.092129E+004	2.058043E+003	9.352566E+003	-9.389585E+003	3.689954E+002	6.072323E+003	1.512210E+002	-1.223652E+003	0.000000E+000	-3.833046E+003	-2.534418E+003	-6.545810E+003	1.019361E+004	1.798689E+003	0.000000E+000	-6.121167E+003	2.503155E+003	4.106193E+003	8.102873E+003	5.280689E+002	3.893549E+003	3.154161E+003	7.608311E+003	-7.218572E+003	-8.954091E+002	-6.147593E+003	3.409377E+003	1.180804E+003	0.000000E+000	0.000000E+000	
-1.077249E+003	3.339256E+002	-2.802232E+003	-6.114307E+003	-1.092355E+004	2.054991E+003	9.351518E+003	-9.389125E+003	3.673586E+002	6.068755E+003	1.470281E+002	-1.225160E+003	0.000000E+000	-3.832789E+003	-2.534933E+003	-6.548936E+003	1.019128E+004	1.797862E+003	0.000000E+000	-6.121001E+003	2.501757E+003	4.104703E+003	8.103168E+003	5.457600E+002	3.892372E+003	3.152396E+003	7.605222E+003	-7.265338E+003	-8.954827E+002	-6.163206E+003	3.496914E+003	1.178707E+003	0.000000E+000	0.000000E+000	
-1.075650E+003	3.369232E+002	-2.800981E+003	-6.113462E+003	-1.092079E+004	2.059478E+003	9.351426E+003	-9.389530E+003	3.687747E+002	6.070870E+003	1.463292E+002	-1.226264E+003	0.000000E+000	-3.835768E+003	-2.534988E+003	-6.547907E+003	1.019343E+004	1.795213E+003	0.000000E+000	-6.120211E+003	2.501445E+003	4.105310E+003	8.101200E+003	5.452819E+002	3.889724E+003	3.153462E+003	7.603236E+003	-7.290569E+003	-8.973769E+002	-6.176466E+003	3.527221E+003	1.181024E+003	0.000000E+000	0.000000E+000	
-1.068753E+003	3.428632E+002	-2.798020E+003	-6.112358E+003	-1.091636E+004	2.066760E+003	9.354258E+003	-9.389916E+003	3.707792E+002	6.075376E+003	1.495107E+002	-1.225859E+003	0.000000E+000	-3.839942E+003	-2.532671E+003	-6.545424E+003	1.019301E+004	1.789991E+003	0.000000E+000	-6.123024E+003	2.502879E+003	4.103986E+003	8.096823E+003	5.396914E+002	3.888308E+003	3.152451E+003	7.596615E+003	-7.280160E+003	-9.008526E+002	-6.191913E+003	3.524002E+003	1.178211E+003	0.000000E+000	0.000000E+000	
-1.060275E+003	3.532351E+002	-2.793349E+003	-6.111145E+003	-1.091022E+004	2.076783E+003	9.359260E+003	-9.390008E+003	3.693632E+002	6.086741E+003	1.531335E+002	-1.226889E+003	0.000000E+000	-3.843363E+003	-2.529324E+003	-6.540772E+003	1.019702E+004	1.780924E+003	0.000000E+000	-6.126757E+003	2.508194E+003	4.104501E+003	8.089044E+003	5.268367E+002	3.885917E+003	3.154014E+003	7.591687E+003	-7.276997E+003	-9.062224E+002	-6.209237E+003	3.513869E+003	1.174514E+003	0.000000E+000	0.000000E+000	
-1.048414E+003	3.653174E+002	-2.783290E+003	-6.105388E+003	-1.089940E+004	2.092138E+003	9.368602E+003	-9.385723E+003	3.769215E+002	6.099172E+003	1.611516E+002	-1.223910E+003	0.000000E+000	-3.842664E+003	-2.521398E+003	-6.530326E+003	1.020069E+004	1.782377E+003	0.000000E+000	-6.124073E+003	2.517021E+003	4.112004E+003	8.089963E+003	5.214852E+002	3.890791E+003	3.157968E+003	7.590969E+003	-7.411980E+003	-9.044386E+002	-6.219645E+003	3.506955E+003	1.167563E+003	0.000000E+000	0.000000E+000	
-1.034971E+003	3.797903E+002	-2.770123E+003	-6.094501E+003	-1.088773E+004	2.107457E+003	9.380573E+003	-9.375112E+003	3.881761E+002	6.111310E+003	1.717810E+002	-1.213648E+003	0.000000E+000	-3.833616E+003	-2.510272E+003	-6.520966E+003	1.021222E+004	1.788538E+003	0.000000E+000	-6.115080E+003	2.530152E+003	4.122817E+003	8.098496E+003	5.288045E+002	3.900004E+003	3.168634E+003	7.600882E+003	-7.694946E+003	-8.957218E+002	-6.216207E+003	3.511607E+003	1.162009E+003	0.000000E+000	0.000000E+000	
-1.027817E+003	3.867785E+002	-2.762141E+003	-6.085343E+003	-1.088077E+004	2.112018E+003	9.387231E+003	-9.365696E+003	3.971505E+002	6.119438E+003	1.764888E+002	-1.203534E+003	0.000000E+000	-3.824605E+003	-2.501555E+003	-6.515669E+003	1.022079E+004	1.797420E+003	0.000000E+000	-6.102869E+003	2.538022E+003	4.126606E+003	8.109255E+003	5.441234E+002	3.907875E+003	3.177167E+003	7.610481E+003	-7.926108E+003	-8.831982E+002	-6.207453E+003	3.521611E+003	1.154322E+003	0.000000E+000	0.000000E+000	
-1.041518E+003	3.712022E+002	-2.774996E+003	-6.094170E+003	-1.089299E+004	2.096276E+003	9.376620E+003	-9.373457E+003	3.881210E+002	6.105112E+003	1.616481E+002	-1.210926E+003	0.000000E+000	-3.829534E+003	-2.511743E+003	-6.529167E+003	1.021048E+004	1.792400E+003	0.000000E+000	-6.107761E+003	2.527742E+003	4.113457E+003	8.106294E+003	5.441234E+002	3.900869E+003	3.168836E+003	7.607576E+003	-7.670157E+003	-8.882554E+002	-6.209843E+003	3.519993E+003	1.144097E+003	0.000000E+000	0.000000E+000	
