Fp1 Fpz Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 M1 T7 C3 Cz C4 T8 M2 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 POz O1 Oz O2 HEOG VEOG
-1524.586 -9.967 -3354.079 -6771.731 -11504.453 1626.412 9076.183 -9953.312 -171.321 5629.455 -116.280 -1607.764 0.000 -4357.492 -3009.928 -7024.888 9956.696 1866.714 0.000 -6953.517 1891.908 3554.401 7898.229 2928.700 3481.393 2674.550 7326.484 -598.466 -1408.950 -5279.125 4684.926 1050.014 0.000 0.000
-1530.434 -15.871 -3359.982 -6778.076 -11511.276 1620.269 9069.838 -9958.517 -177.537 5623.313 -123.047 -1614.182 0.000 -4363.616 -3016.567 -7032.999 9953.349 1903.144 0.000 -6954.491 1889.370 3550.539 7896.023 2965.057 3477.126 2669.677 7321.887 -568.564 -1414.724 -5280.063 4704.898 1055.568 0.000 0.000
-1531.299 -17.305 -3361.435 -6783.446 -11511.901 1620.453 9065.719 -9963.354 -181.564 5622.779 -125.365 -1618.375 0.000 -4371.487 -3019.289 -7034.138 9950.223 1940.292 0.000 -6960.008 1887.274 3550.024 7889.825 3002.039 3472.878 2667.010 7315.947 -570.770 -1420.517 -5288.229 4717.550 1056.855 0.000 0.000
-1521.276 -5.774 -3354.410 -6778.848 -11505.023 1633.418 9071.824 -9960.761 -178.512 5632.949 -116.685 -1616.279 0.000 -4373.841 -3014.434 -7025.808 9953.312 1974.148 0.000 -6962.528 1891.467 3553.684 7885.412 3012.392 3471.664 2669.345 7312.655 -697.422 -1423.404 -5301.929 4726.285 1048.561 0.000 0.000
-1506.159 10.023 -3342.033 -6771.621 -11491.746 1650.907 9082.655 -9954.600 -171.836 5648.047 -104.363 -1613.631 0.000 -4375.900 -3007.390 -7013.964 9956.917 1999.361 0.000 -6966.243 1896.781 3556.221 7879.086 2980.946 3470.506 2671.368 7305.814 -780.637 -1427.873 -5324.273 4715.362 1028.424 0.000 0.000
-1496.983 21.240 -3333.684 -6765.920 -11484.004 1662.235 9089.754 -9951.142 -168.305 5659.063 -95.757 -1607.783 0.000 -4377.703 -3000.476 -7004.585 9960.337 2019.700 0.000 -6966.997 1901.544 3561.058 7876.290 2939.770 3469.880 2671.938 7301.603 -803.367 -1430.080 -5346.911 4701.165 998.301 0.000 0.000
-1497.130 22.473 -3334.420 -6767.061 -11482.717 1665.049 9089.166 -9952.062 -167.662 5658.566 -96.364 -1610.431 0.000 -4378.696 -3001.322 -7003.813 9963.923 2039.911 0.000 -6963.392 1905.553 3563.633 7878.662 2929.380 3471.076 2675.175 7303.681 -788.122 -1429.823 -5355.224 4687.482 974.854 0.000 0.000
-1499.410 18.721 -3335.505 -6766.380 -11484.096 1659.109 9088.319 -9952.411 -169.262 5655.514 -99.140 -1608.297 0.000 -4376.654 -3001.597 -7007.547 9966.461 2062.788 0.000 -6958.408 1907.264 3564.442 7885.264 2947.844 3475.085 2677.492 7309.400 -821.169 -1423.404 -5352.612 4681.138 957.567 0.000 0.000
-1504.909 11.365 -3337.988 -6765.681 -11488.123 1652.286 9086.923 -9949.027 -166.485 5650.328 -102.984 -1606.587 0.000 -4371.266 -3001.138 -7012.015 9963.738 2086.014 0.000 -6953.369 1900.698 3558.833 7889.329 2961.526 3478.174 2679.092 7317.032 -862.601 -1418.090 -5339.169 4687.390 956.777 0.000 0.000
-1511.695 3.255 -3342.309 -6764.394 -11492.132 1641.252 9082.950 -9946.856 -163.671 5642.788 -108.409 -1602.836 0.000 -4361.520 -3002.443 -7018.323 9961.018 2098.023 0.000 -6950.703 1896.984 3552.378 7895.986 2953.416 3480.491 2677.842 7324.700 -881.819 -1411.138 -5319.988 4699.197 968.215 0.000 0.000
-1523.501 -7.356 -3350.180 -6770.444 -11501.069 1627.736 9074.767 -9950.812 -169.133 5632.287 -119.921 -1607.599 0.000 -4361.667 -3009.432 -7028.640 9955.481 2095.908 0.000 -6950.906 1891.228 3546.530 7897.329 2963.365 3479.701 2672.729 7324.682 -784.830 -1410.789 -5308.880 4711.059 982.633 0.000 0.000
-1531.004 -14.620 -3355.568 -6774.472 -11506.163 1620.030 9069.103 -9954.489 -175.110 5627.101 -124.059 -1611.387 0.000 -4366.577 -3013.827 -7035.168 9954.968 2075.201 0.000 -6952.082 1888.267 3542.263 7898.046 2982.215 3477.126 2671.663 7321.538 -734.589 -1410.697 -5305.184 4737.080 1000.747 0.000 0.000
-1527.860 -12.763 -3353.858 -6774.729 -11504.307 1623.800 9070.702 -9955.445 -175.110 5628.958 -122.496 -1613.281 0.000 -4371.414 -3013.128 -7034.212 9956.144 2031.543 0.000 -6952.229 1890.437 3544.066 7895.582 3004.944 3476.317 2671.203 7320.581 -750.827 -1412.279 -5311.621 4752.859 1018.640 0.000 0.000
