trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1170,2041,2471517.5,natural,new,correctreject,subsequent_remembered
1171,1049,2472911,manmade,new,correctreject,na
1172,2119,2474599.5,natural,old,hit,na
1173,1111,2476319.5,manmade,old,hit,subsequent_remembered
1174,2119,2478470,natural,old,hit,na
1175,1041,2480717,manmade,new,correctreject,subsequent_remembered
1176,2111,2482161,natural,old,hit,subsequent_remembered
1177,1049,2483768.5,manmade,new,correctreject,na
1178,1049,2485166,manmade,new,correctreject,na
1179,2049,2487081,natural,new,correctreject,na
1180,2119,2488872.5,natural,old,hit,na
1181,2049,2490203.5,natural,new,correctreject,na
1182,2111,2492098,natural,old,hit,subsequent_remembered
1183,1119,2494363,manmade,old,hit,na
1184,2119,2495871,natural,old,hit,na
1185,1049,2498049,manmade,new,correctreject,na
1186,2119,2499721,natural,old,hit,na
1187,1049,2501323.5,manmade,new,correctreject,na
1188,1049,2502695.5,manmade,new,correctreject,na
1189,1119,2504384.5,manmade,old,hit,na
1190,2049,2505931,natural,new,correctreject,na
1191,1119,2507816.5,manmade,old,hit,na
1192,1049,2509458,manmade,new,correctreject,na
1193,2049,2511408.5,natural,new,correctreject,na
1194,2119,2513415.5,natural,old,hit,na
1195,1119,2515135.5,manmade,old,hit,na
1196,1049,2516543.5,manmade,new,correctreject,na
1197,1049,2518161.5,manmade,new,correctreject,na
1198,2119,2520030,natural,old,hit,na
1199,2039,2522118.5,natural,new,falsealarm,na
1200,1049,2523659.5,manmade,new,correctreject,na
